`,index,obs_1,obs_2,obs_3,obs_4,obs_5,action_1,action_2,action_3,reward
436,0,-0.476379603,-0.400000006,-0.417459607,-0.464304686,-0.347918957,0.0550423823297023,1.0,-0.061133921,0.4565037786960602
437,0,-0.476324558,-0.400000006,-0.417811215,-0.463985533,-0.353693783,0.0588981360197067,1.0,-0.056700155,0.4824789762496948
438,0,-0.476265669,-0.400000006,-0.418137312,-0.465875804,-0.350620449,0.0557945854961872,1.0,-0.063700572,0.4362069964408874
439,0,-0.476209879,-0.400000006,-0.418503702,-0.46398288,-0.351672024,0.053989503532648,0.9900043606758118,-0.070814803,0.4629626274108886
440,0,-0.476155877,-0.400000006,-0.41891098,-0.465518743,-0.349740028,0.0494097135961055,0.9698455929756165,-0.079884902,0.4590001702308655
441,0,-0.476106465,-0.400000006,-0.419370443,-0.465178162,-0.350365579,0.0456160679459571,0.9525429606437684,-0.088239983,0.4681116044521332
442,0,-0.476060838,-0.400000006,-0.419877976,-0.464829236,-0.352323443,0.0443086847662925,0.9473713040351868,-0.090016216,0.4481169283390045
443,0,-0.476016551,-0.400000006,-0.420395702,-0.464389443,-0.351643384,0.0414783284068107,0.9370954632759094,-0.092578679,0.5247581005096436
444,0,-0.475975066,-0.400000006,-0.42092818,-0.46654892,-0.352829099,0.0401002280414104,0.9330187439918518,-0.092534393,0.4982098937034607
445,0,-0.475934952,-0.400000006,-0.42146039,-0.465921491,-0.352056503,0.0376718826591968,0.9259973168373108,-0.092230067,0.539178729057312
446,0,-0.475897282,-0.400000006,-0.421990842,-0.466149569,-0.355469137,0.0375948064029216,0.9278629422187804,-0.089308873,0.5232820510864258
447,0,-0.475859702,-0.400000006,-0.422504514,-0.465855241,-0.354762524,0.0360144451260566,0.9230926632881165,-0.089390874,0.5424176454544067
448,0,-0.475823671,-0.400000006,-0.423018634,-0.465926617,-0.356461912,0.0350259095430374,0.9207847714424132,-0.08849965,0.5570070147514343
449,0,-0.475788653,-0.400000006,-0.423527658,-0.466257155,-0.356929272,0.0335174910724163,0.9159452319145204,-0.088977292,0.6223809719085693
450,0,-0.475755125,-0.400000006,-0.424039423,-0.468267024,-0.357436985,0.0305850654840469,0.9052332043647766,-0.091723531,0.5578320026397705
451,0,-0.475724548,-0.400000006,-0.424566954,-0.467305779,-0.353865862,0.0237590409815311,0.8794880509376526,-0.099245638,0.5792694687843323
452,0,-0.475700796,-0.400000006,-0.425137788,-0.466911793,-0.357191563,0.0212683193385601,0.8744435906410217,-0.099714741,0.6336994767189026
453,0,-0.475679517,-0.400000006,-0.425711304,-0.468324989,-0.35839498,0.0182714648544788,0.8673622012138367,-0.103616193,0.5692107081413269
454,0,-0.475661248,-0.400000006,-0.426307231,-0.466593415,-0.357140779,0.0146900191903114,0.8599868416786194,-0.107598573,0.6120504140853882
455,0,-0.475646555,-0.400000006,-0.426926106,-0.467082441,-0.359957695,0.0136630963534116,0.8610444664955139,-0.10675557,0.6439836621284485
456,0,-0.475632906,-0.400000006,-0.427540094,-0.467977434,-0.360466063,0.0114021375775337,0.8573759198188782,-0.108651847,0.612217366695404
457,0,-0.475621492,-0.400000006,-0.428165019,-0.468241781,-0.356496364,0.0037103183567523,0.833433210849762,-0.122273833,0.6266590356826782
458,0,-0.475617796,-0.400000006,-0.428868294,-0.46682179,-0.362200558,0.0041324868798255,0.8406073451042175,-0.11785996,0.6326817870140076
459,0,-0.475613654,-0.400000006,-0.429546148,-0.466904163,-0.362555683,0.0033012442290782,0.8435668349266052,-0.11500141,0.6241987347602844
460,0,-0.475610346,-0.400000006,-0.43020758,-0.466759712,-0.362140715,0.0004441328346729,0.8385239243507385,-0.116531357,0.6044082045555115
461,0,-0.475609899,-0.400000006,-0.430877835,-0.467320055,-0.358480662,-0.007036787,0.8188636898994446,-0.125977993,0.6633886098861694
462,0,-0.475616962,-0.400000006,-0.431602389,-0.466826648,-0.365858942,-0.006263401,0.8305628895759583,-0.116855264,0.6155956387519836
463,0,-0.47562322,-0.400000006,-0.432274491,-0.466247082,-0.362818271,-0.010486711,0.8223399519920349,-0.119764626,0.6420187950134277
464,0,-0.475633711,-0.400000006,-0.432963312,-0.466389418,-0.365033656,-0.012590759,0.822475254535675,-0.117647558,0.6511250138282776
465,0,-0.475646287,-0.400000006,-0.433639973,-0.466602743,-0.365304232,-0.014793672,0.8212648034095764,-0.11657083,0.6615089178085327
466,0,-0.475661069,-0.400000006,-0.434310436,-0.466988742,-0.365184665,-0.019525606,0.8115895390510559,-0.120219842,0.6055161356925964
467,0,-0.475680619,-0.400000006,-0.43500188,-0.466067553,-0.362348974,-0.027818102,0.7883026003837585,-0.131804541,0.6572242975234985
468,0,-0.475708425,-0.400000006,-0.435759962,-0.466558069,-0.366048217,-0.031366322,0.787615954875946,-0.12915118,0.6276715397834778
469,0,-0.475739807,-0.400000006,-0.436502784,-0.466384113,-0.363614827,-0.038497154,0.7747233510017395,-0.134001806,0.6935405135154724
470,0,-0.475778282,-0.400000006,-0.437273502,-0.467446536,-0.367014498,-0.041081619,0.7828077673912048,-0.128885224,0.6195887327194214
471,0,-0.475819379,-0.400000006,-0.438014776,-0.465878159,-0.36432445,-0.047391262,0.7778646349906921,-0.132727951,0.6640475392341614
472,0,-0.475866765,-0.400000006,-0.438778162,-0.46660167,-0.366599768,-0.051418159,0.781921923160553,-0.130344123,0.6436344385147095
473,0,-0.475918174,-0.400000006,-0.439527869,-0.464987069,-0.36940226,-0.052477676,0.7928147912025452,-0.122596264,0.6078000068664551
474,0,-0.475970656,-0.400000006,-0.440232962,-0.465164393,-0.365286827,-0.059181485,0.7840157151222229,-0.129456043,0.6737236976623535
475,0,-0.476029843,-0.400000006,-0.440977544,-0.466149449,-0.368924022,-0.062500969,0.7877176403999329,-0.126517862,0.6125479340553284
476,0,-0.476092339,-0.400000006,-0.441705227,-0.465081573,-0.366010129,-0.068342283,0.7841917872428894,-0.126857162,0.6425718069076538
477,0,-0.476160675,-0.400000006,-0.442434847,-0.465189159,-0.368689716,-0.071124628,0.7903026938438416,-0.120862752,0.612036943435669
478,0,-0.476231813,-0.400000006,-0.443129987,-0.464807332,-0.366781712,-0.076445997,0.7878656983375549,-0.120198816,0.659669041633606
479,0,-0.476308256,-0.400000006,-0.443821311,-0.46502313,-0.370897561,-0.078209519,0.8020578026771545,-0.108468324,0.6186134219169617
480,0,-0.476386458,-0.400000006,-0.444445163,-0.464468122,-0.368457019,-0.082830235,0.800256073474884,-0.107875898,0.6039256453514099
481,0,-0.476469308,-0.400000006,-0.445065618,-0.463285625,-0.370535702,-0.085058555,0.8098992705345154,-0.099320278,0.6233140826225281
482,0,-0.476554364,-0.400000006,-0.445636868,-0.46356374,-0.371640205,-0.087223485,0.8160732388496399,-0.09345603,0.6421051025390625
483,0,-0.476641566,-0.400000006,-0.446174383,-0.464251608,-0.371455699,-0.091358602,0.8156202435493469,-0.092105746,0.5959312915802002
484,0,-0.476732939,-0.400000006,-0.446704119,-0.462759674,-0.371314138,-0.094612643,0.8159237504005432,-0.090499252,0.5827486515045166
485,0,-0.476827562,-0.400000006,-0.447224647,-0.462478042,-0.370840728,-0.099942356,0.8139509558677673,-0.0893915,0.6766481399536133
486,0,-0.476927489,-0.400000006,-0.447738767,-0.464899123,-0.372967452,-0.103034467,0.8160414099693298,-0.086337626,0.620547354221344
487,0,-0.477030516,-0.400000006,-0.448235363,-0.462073892,-0.375833064,-0.102626279,0.8327265381813049,-0.07367228,0.6580724120140076
488,0,-0.477133155,-0.400000006,-0.448659092,-0.463577002,-0.375076205,-0.105830878,0.8332222104072571,-0.071944818,0.6473007798194885
489,0,-0.477238983,-0.400000006,-0.449072868,-0.461605579,-0.37991339,-0.104672089,0.8446946740150452,-0.063196108,0.6425340175628662
490,0,-0.477343649,-0.400000006,-0.449436337,-0.461719364,-0.379095286,-0.106318235,0.8437358736991882,-0.063284829,0.5927665829658508
491,0,-0.477449983,-0.400000006,-0.449800342,-0.460998029,-0.376282573,-0.111651644,0.8312850594520569,-0.070808083,0.6493813395500183
492,0,-0.477561623,-0.400000006,-0.450207591,-0.461755216,-0.379672468,-0.114294231,0.8279394507408142,-0.072023362,0.5925583839416504
493,0,-0.477675915,-0.400000006,-0.450621843,-0.459791064,-0.379882663,-0.116748944,0.8277948498725891,-0.070943683,0.640021562576294
494,0,-0.47779268,-0.400000006,-0.451029867,-0.461203426,-0.380391896,-0.119644523,0.8273268342018127,-0.069891885,0.6304705142974854
495,0,-0.477912307,-0.400000006,-0.451431841,-0.460493296,-0.381567121,-0.121935025,0.8305694460868835,-0.066367269,0.5794805288314819
496,0,-0.478034258,-0.400000006,-0.451813579,-0.45864296,-0.382019192,-0.123678863,0.8381499648094177,-0.059873879,0.5900875329971313
497,0,-0.478157938,-0.400000006,-0.452157944,-0.458030432,-0.384917468,-0.122846127,0.851509153842926,-0.050178349,0.7139626741409302
498,0,-0.478280783,-0.400000006,-0.45244655,-0.460705131,-0.389280885,-0.119022384,0.8696544766426086,-0.035931215,0.6190696358680725
499,0,-0.478399783,-0.400000006,-0.452653199,-0.457233965,-0.390205026,-0.115062848,0.8807514309883118,-0.027079061,0.5855762362480164
500,0,-0.47851485,-0.400000006,-0.452808946,-0.457476914,-0.386126876,-0.118528485,0.8700376152992249,-0.033046082,0.5229883790016174
501,0,-0.478633374,-0.400000006,-0.452998996,-0.456807703,-0.381875694,-0.126518056,0.8555874228477478,-0.03453581,0.5200092196464539
502,0,-0.478759915,-0.400000006,-0.453197628,-0.457271993,-0.380184919,-0.135260299,0.8458558917045593,-0.028065756,0.4436708986759186
503,0,-0.478895158,-0.400000006,-0.453359067,-0.455901533,-0.376662523,-0.143870354,0.8433098196983337,-0.017461777,0.4634630382061004
504,0,-0.479039043,-0.400000006,-0.453459501,-0.456392378,-0.377169192,-0.147756442,0.8588979840278625,-0.005754456,0.4607756733894348
505,0,-0.479186803,-0.400000006,-0.453492582,-0.456527352,-0.37649554,-0.148873702,0.8802395462989807,0.0040215551853179,0.3931474089622497
506,0,-0.479335666,-0.400000006,-0.453469455,-0.454212189,-0.376678199,-0.148148522,0.9036675095558168,0.013242483139038,0.390592873096466
507,0,-0.479483813,-0.400000006,-0.45339331,-0.454278618,-0.376223445,-0.147046462,0.9232874512672424,0.0206162929534912,0.4346080422401428
508,0,-0.479630858,-0.400000006,-0.453274727,-0.45515433,-0.377997816,-0.14183791,0.9389145970344543,0.0233460366725921,0.3452114462852478
509,0,-0.479772687,-0.400000006,-0.453140438,-0.452305824,-0.37760371,-0.137793303,0.9510660767555236,0.0259833633899688,0.4304430186748504
510,0,-0.479910493,-0.400000006,-0.452991009,-0.45453921,-0.379426718,-0.134952351,0.961715042591095,0.0285688191652297,0.3840263783931732
511,0,-0.480045438,-0.400000006,-0.452826679,-0.452628672,-0.380516648,-0.133100107,0.9716468453407288,0.0320351272821426,0.3726969361305237
512,0,-0.480178535,-0.400000006,-0.452642441,-0.452720821,-0.379107237,-0.131626666,0.973898470401764,0.0336426496505737,0.3450770676136017
513,0,-0.480310172,-0.400000006,-0.452448934,-0.451955616,-0.378640801,-0.130460411,0.9753084778785706,0.0354906022548675,0.3631696701049804
514,0,-0.480440617,-0.400000006,-0.452244818,-0.451951206,-0.380463362,-0.128640339,0.9830085635185242,0.0400016903877258,0.3028827607631683
515,0,-0.480569273,-0.400000006,-0.452014744,-0.450545043,-0.378653139,-0.127372131,0.9853684306144714,0.042583629488945,0.4201670885086059
516,0,-0.480696648,-0.400000006,-0.451769829,-0.452910066,-0.383286536,-0.123900667,0.9950466752052308,0.0466222614049911,0.3244422674179077
517,0,-0.480820537,-0.400000006,-0.451501667,-0.450079083,-0.382206947,-0.118918166,0.9982858300209044,0.0474567413330078,0.3485648930072784
518,0,-0.480939448,-0.400000006,-0.451228738,-0.45058772,-0.383093297,-0.114383772,1.0,0.0481572896242141,0.3304714560508728
519,0,-0.481053859,-0.400000006,-0.450951755,-0.449845046,-0.38351205,-0.109832048,1.0,0.0484348833560943,0.2951503694057464
520,0,-0.481163681,-0.400000006,-0.450673163,-0.447986066,-0.385556787,-0.102659389,1.0,0.0557131767272949,0.3162885904312134
521,0,-0.48126635,-0.400000006,-0.450352728,-0.449137777,-0.384215534,-0.099043876,1.0,0.0576997101306915,0.2992677688598633
522,0,-0.481365383,-0.400000006,-0.45002088,-0.447413653,-0.387685835,-0.092415243,1.0,0.0663964301347732,0.3570913970470428
523,0,-0.4814578,-0.400000006,-0.449638993,-0.449607819,-0.386885673,-0.089336395,1.0,0.0688295364379882,0.3038513660430908
524,0,-0.481547117,-0.400000006,-0.449243128,-0.447433978,-0.38808319,-0.086562142,1.0,0.0718762576580047,0.2851652204990387
525,0,-0.481633693,-0.400000006,-0.44882971,-0.446069777,-0.390307248,-0.082829788,1.0,0.0783406198024749,0.2966716587543487
526,0,-0.481716514,-0.400000006,-0.448379129,-0.445700973,-0.392564237,-0.079562634,1.0,0.0841592699289321,0.2654705643653869
527,0,-0.481796086,-0.400000006,-0.44789508,-0.445058227,-0.391372383,-0.080008626,1.0,0.0819188058376312,0.3498934507369995
528,0,-0.481876105,-0.400000006,-0.447423935,-0.448031396,-0.390895128,-0.083843037,1.0,0.0732909888029098,0.2827377021312713
529,0,-0.481959939,-0.400000006,-0.447002411,-0.445124477,-0.392900378,-0.08502461,1.0,0.0694983452558517,0.2964825928211212
530,0,-0.482044965,-0.400000006,-0.446602672,-0.445793062,-0.392269075,-0.086916,1.0,0.0651808381080627,0.2559946477413177
531,0,-0.482131869,-0.400000006,-0.446227789,-0.444143862,-0.393167853,-0.087266549,1.0,0.0653347373008728,0.3153063654899597
532,0,-0.48221916,-0.400000006,-0.445852011,-0.446086377,-0.393271536,-0.087982386,1.0,0.0651856660842895,0.2021654546260833
533,0,-0.482307136,-0.400000006,-0.445477098,-0.443108618,-0.390890688,-0.09014231,0.9972737431526184,0.0634985864162445,0.2654986679553985
534,0,-0.482397258,-0.400000006,-0.445111871,-0.444015503,-0.394503325,-0.088971645,1.0,0.0703751742839813,0.194949135184288
535,0,-0.482486248,-0.400000006,-0.444707125,-0.442383468,-0.392344505,-0.089364365,1.0,0.0715475380420684,0.2382514774799347
536,0,-0.482575595,-0.400000006,-0.444295615,-0.442126811,-0.397444725,-0.083382398,1.0,0.0802194327116012,0.271574854850769
537,0,-0.482658982,-0.400000006,-0.443834215,-0.442592084,-0.39938128,-0.077551201,1.0,0.0864968597888946,0.3291152417659759
538,0,-0.482736528,-0.400000006,-0.443336725,-0.443663061,-0.401922375,-0.071259812,1.0,0.0893064439296722,0.359296590089798
539,0,-0.482807785,-0.400000006,-0.442823082,-0.445134968,-0.400524735,-0.070373744,1.0,0.082248717546463,0.2045499235391616
540,0,-0.482878178,-0.400000006,-0.44235003,-0.440734833,-0.398250461,-0.071778446,1.0,0.0710982680320739,0.2104980945587158
541,0,-0.482949942,-0.400000006,-0.441941112,-0.440993279,-0.398069978,-0.073335215,1.0,0.0617600381374359,0.2366538643836975
542,0,-0.483023286,-0.400000006,-0.441585898,-0.440675229,-0.4016397,-0.069882169,1.0,0.0616903454065322,0.25334033370018
543,0,-0.483093172,-0.400000006,-0.441231072,-0.441492766,-0.40085572,-0.067967787,1.0,0.0605037659406662,0.2554028630256653
544,0,-0.483161122,-0.400000006,-0.44088307,-0.441559672,-0.400861263,-0.066067383,1.0,0.0592304021120071,0.2301464676856994
545,0,-0.483227193,-0.400000006,-0.44054243,-0.440053582,-0.402853876,-0.062264342,1.0,0.0625998824834823,0.2787281572818756
546,0,-0.48328948,-0.400000006,-0.440182388,-0.439827561,-0.408390164,-0.053176973,1.0,0.0723386853933334,0.3006493747234344
547,0,-0.483342648,-0.400000006,-0.439766318,-0.440162778,-0.409576595,-0.045728657,1.0,0.0757067501544952,0.2874542772769928
548,0,-0.483388364,-0.400000006,-0.439330876,-0.439243555,-0.411014766,-0.039117757,1.0,0.0759516954421997,0.2643721103668213
549,0,-0.483427495,-0.400000006,-0.438894033,-0.440788746,-0.404070944,-0.044172067,1.0,0.0576823651790618,0.1746661365032196
550,0,-0.483471662,-0.400000006,-0.438562274,-0.439065516,-0.400270104,-0.048726413,1.0,0.0438082069158554,0.2333783656358719
551,0,-0.483520389,-0.400000006,-0.438310325,-0.441956222,-0.397469223,-0.053566415,0.9961703419685364,0.0361173599958419,0.2240266054868698
552,0,-0.483573943,-0.400000006,-0.438102603,-0.442146599,-0.395962805,-0.057516549,0.9935598969459534,0.0355121046304702,0.1566649973392486
553,0,-0.483631462,-0.400000006,-0.437898338,-0.441010475,-0.392635077,-0.060534272,1.0,0.042136862874031,0.0322779044508934
554,0,-0.48369202,-0.400000006,-0.437655985,-0.436603636,-0.393416852,-0.059027772,1.0,0.0596974492073059,0.0682545006275177
555,0,-0.483751029,-0.400000006,-0.437312633,-0.437027007,-0.395744443,-0.053585377,1.0,0.0825448036193847,0.1010751202702522
556,0,-0.483804613,-0.400000006,-0.436837882,-0.438827068,-0.393626302,-0.051389489,1.0,0.0959002077579498,0.1577739119529724
557,0,-0.483856022,-0.400000006,-0.4362863,-0.440711141,-0.393643975,-0.049168732,1.0,0.10662741959095,0.0854651927947998
558,0,-0.483905166,-0.400000006,-0.435673028,-0.43896994,-0.39163667,-0.047912363,1.0,0.1124768704175949,0.0128602441400289
559,0,-0.483953089,-0.400000006,-0.435026109,-0.436139911,-0.392866284,-0.043754008,1.0,0.1203958690166473,0.0138315102085471
560,0,-0.483996838,-0.400000006,-0.434333652,-0.437398493,-0.389187664,-0.043103147,1.0,0.120748832821846,0.0187612492591142
561,0,-0.484039962,-0.400000006,-0.433639169,-0.436219096,-0.393218815,-0.037483897,1.0,0.1280727088451385,0.0525704585015773
562,0,-0.484077424,-0.400000006,-0.432902545,-0.437247872,-0.393513381,-0.032050896,1.0,0.132293164730072,-0.055768568
563,0,-0.484109491,-0.400000006,-0.432141662,-0.434419274,-0.391165376,-0.028700221,1.0,0.1319161206483841,0.0193793717771768
564,0,-0.484138191,-0.400000006,-0.431382954,-0.436982334,-0.390990913,-0.025732029,1.0,0.1286450028419494,0.01931725256145
565,0,-0.48416391,-0.400000006,-0.430643022,-0.436135501,-0.393525273,-0.020133264,1.0,0.1292458027601242,-0.038578562
566,0,-0.484184057,-0.400000006,-0.429899663,-0.435097635,-0.390849203,-0.016807623,1.0,0.1231313794851303,0.0105090048164129
567,0,-0.484200865,-0.400000006,-0.42919147,-0.435795307,-0.393664956,-0.011186581,1.0,0.1223536729812622,-0.033032257
568,0,-0.484212041,-0.400000006,-0.428487748,-0.435984641,-0.388742834,-0.010728776,1.0,0.1142386198043823,-0.072857872
569,0,-0.48422277,-0.400000006,-0.427830726,-0.435020357,-0.387653112,-0.009534117,1.0,0.1102562993764877,-0.023088759
570,0,-0.484232306,-0.400000006,-0.427196562,-0.436377019,-0.388560086,-0.005570795,1.0,0.1117962747812271,-0.029491374
571,0,-0.48423788,-0.400000006,-0.426553577,-0.437253267,-0.3852911,-0.004858989,1.0,0.1112850755453109,-0.073383227
572,0,-0.484242737,-0.400000006,-0.425913513,-0.434894174,-0.38797918,0.0011260770261287,1.0,0.1186753809452056,-0.121136725
573,0,-0.484241605,-0.400000006,-0.42523095,-0.434134781,-0.385481983,0.0049386955797672,1.0,0.1237261146306991,-0.003696284
574,0,-0.484236658,-0.400000006,-0.42451933,-0.438934028,-0.382828295,0.0057945400476455,1.0,0.1237684190273284,-0.008842084
575,0,-0.484230876,-0.400000006,-0.423807472,-0.437985271,-0.385159999,0.0098694749176502,1.0,0.1304856389760971,-0.029391875
576,0,-0.484221011,-0.400000006,-0.42305699,-0.437653422,-0.384100586,0.0135795306414365,1.0,0.1341807693243026,-0.070684142
577,0,-0.484207422,-0.400000006,-0.422285229,-0.435747623,-0.385688722,0.0199744366109371,1.0,0.14005047082901,-0.094692022
578,0,-0.484187454,-0.400000006,-0.421479732,-0.43567425,-0.383508027,0.0227703638374805,1.0,0.1399160921573639,-0.097480297
579,0,-0.484164685,-0.400000006,-0.420675009,-0.43626976,-0.381442726,0.0244254451245069,1.0,0.1366096287965774,-0.080642484
580,0,-0.484140247,-0.400000006,-0.419889271,-0.437712818,-0.378797263,0.0241788420826196,1.0,0.130929097533226,-0.053806428
581,0,-0.484116077,-0.400000006,-0.419136226,-0.438589931,-0.378849596,0.0257519222795963,1.0,0.1298889517784118,-0.15426445
582,0,-0.484090328,-0.400000006,-0.418389171,-0.437728286,-0.371388733,0.02100152336061,1.0,0.120129570364952,-0.11585848
583,0,-0.484069318,-0.400000006,-0.417698234,-0.438505858,-0.372896612,0.0227913968265056,1.0,0.1234854906797409,-0.183846429
584,0,-0.484046519,-0.400000006,-0.416988015,-0.436685741,-0.37155816,0.0253710336983203,1.0,0.1296772360801696,-0.225877121
585,0,-0.484021157,-0.400000006,-0.416242182,-0.43602705,-0.369331181,0.0281703379005193,1.0,0.1351058483123779,-0.187222451
586,0,-0.483992994,-0.400000006,-0.415465117,-0.437428266,-0.368992984,0.0318793058395385,1.0,0.1427329182624817,-0.23749125
587,0,-0.483961105,-0.400000006,-0.414644182,-0.435915351,-0.368504852,0.0372028052806854,1.0,0.1524206399917602,-0.178237408
588,0,-0.483923912,-0.400000006,-0.413767517,-0.436766565,-0.371876538,0.0473054461181163,1.0,0.1667177528142929,-0.206621185
589,0,-0.483876616,-0.400000006,-0.412808627,-0.436995208,-0.368352294,0.0534468442201614,1.0,0.1711533218622207,-0.201222509
590,0,-0.48382315,-0.400000006,-0.411824256,-0.436802179,-0.369471192,0.0616337433457374,1.0,0.1777584105730056,-0.226677611
591,0,-0.483761519,-0.400000006,-0.410801858,-0.435878187,-0.36969763,0.0704733207821846,1.0,0.182748481631279,-0.162245959
592,0,-0.483691037,-0.400000006,-0.409750789,-0.438453585,-0.36841464,0.076136939227581,1.0,0.1812305599451065,-0.053263478
593,0,-0.483614922,-0.400000006,-0.408708423,-0.441968024,-0.368769586,0.08174779266119,1.0,0.1787243485450744,-0.114411011
594,0,-0.483533174,-0.400000006,-0.407680482,-0.440018475,-0.368503511,0.0874715745449066,1.0,0.1769391745328903,-0.10039603
595,0,-0.483445704,-0.400000006,-0.406662822,-0.440044671,-0.369826376,0.0947952568531036,1.0,0.1683696508407592,-0.132524297
596,0,-0.483350903,-0.400000006,-0.405694425,-0.439670205,-0.367736906,0.0986078307032585,1.0,0.1486410349607467,-0.099468984
597,0,-0.483252287,-0.400000006,-0.404839516,-0.440989017,-0.367086083,0.1016060560941696,1.0,0.1263256222009658,-0.126404583
598,0,-0.483150691,-0.400000006,-0.404112935,-0.439448476,-0.369014084,0.1085599660873413,1.0,0.1115942895412445,-0.154616073
599,0,-0.483042121,-0.400000006,-0.403471112,-0.439043015,-0.367409348,0.1144356131553649,1.0,0.096270278096199,-0.047673553
600,0,-0.48292768,-0.400000006,-0.402917415,-0.441523463,-0.370662272,0.1227386146783828,1.0,0.0851674973964691,-0.055600349
601,0,-0.482804954,-0.400000006,-0.402427554,-0.442652553,-0.366482317,0.1260566413402557,1.0,0.0676237642765045,-0.050536282
602,0,-0.48267889,-0.400000006,-0.402038634,-0.442224294,-0.368273467,0.1302156746387481,1.0,0.0581622272729873,-0.031315465
603,0,-0.482548684,-0.400000006,-0.401704103,-0.44331938,-0.366910368,0.1326948553323745,1.0,0.0471315830945968,-0.031988006
604,0,-0.482415974,-0.400000006,-0.401433021,-0.443671465,-0.365786821,0.1343253552913665,1.0,0.037912905216217,-0.039732933
605,0,-0.482281655,-0.400000006,-0.401214957,-0.443915695,-0.364279598,0.1352463215589523,1.0,0.0284393727779388,-0.014962666
606,0,-0.482146412,-0.400000006,-0.401051402,-0.44359991,-0.367704034,0.1403140574693679,1.0,0.0255219191312789,0.0075649740174412
607,0,-0.482006103,-0.400000006,-0.400904596,-0.445619911,-0.363896787,0.1399415433406829,1.0,0.0158611238002777,0.0014827792765572
608,0,-0.481866151,-0.400000006,-0.400813371,-0.445563823,-0.363456815,0.1397033929824829,1.0,0.0080708414316177,0.0321410000324249
609,0,-0.481726438,-0.400000006,-0.400766969,-0.446449548,-0.363865465,0.141183391213417,1.0,0.0033830106258392,0.0373358540236949
610,0,-0.481585264,-0.400000006,-0.400747508,-0.445959419,-0.365855336,0.1446719914674759,1.0,0.0018144696950912,0.1677906662225723
611,0,-0.481440604,-0.400000006,-0.400737077,-0.45041579,-0.365531743,0.1454199999570846,1.0,-0.005443677,0.1024522110819816
612,0,-0.481295168,-0.400000006,-0.400768369,-0.448943019,-0.363416195,0.1454038023948669,1.0,-0.013005242,0.0466440618038177
613,0,-0.481149763,-0.400000006,-0.400843173,-0.447885722,-0.361007243,0.1438241750001907,1.0,-0.022803158,0.1115531772375106
614,0,-0.481005937,-0.400000006,-0.400974333,-0.449260741,-0.363373101,0.1456393748521804,1.0,-0.026660621,0.1051879823207855
615,0,-0.480860323,-0.400000006,-0.401127666,-0.449400991,-0.362315863,0.1466920226812362,1.0,-0.030490592,0.1611542403697967
616,0,-0.480713606,-0.400000006,-0.401303023,-0.450997978,-0.363121539,0.1487130224704742,1.0,-0.033097833,0.1262557655572891
617,0,-0.480564892,-0.400000006,-0.4014934,-0.450664759,-0.360631317,0.1483919024467468,1.0,-0.038618103,0.1391236633062362
618,0,-0.480416507,-0.400000006,-0.401715517,-0.452140033,-0.357492238,0.145103320479393,1.0,-0.048060864,0.1109691560268402
619,0,-0.480271399,-0.400000006,-0.401991934,-0.451298535,-0.357201338,0.1440342664718628,1.0,-0.050749779,0.1679021418094635
620,0,-0.480127364,-0.400000006,-0.402283818,-0.45217976,-0.36025098,0.1472790092229843,1.0,-0.046560526,0.2352518886327743
621,0,-0.479980111,-0.400000006,-0.402551621,-0.454137951,-0.361111373,0.1500671803951263,1.0,-0.044441447,0.171341598033905
622,0,-0.479830027,-0.400000006,-0.402807236,-0.452749133,-0.358886778,0.1502531617879867,1.0,-0.046648994,0.2435714453458786
623,0,-0.479679763,-0.400000006,-0.403075516,-0.456253886,-0.355595499,0.1458951234817505,1.0,-0.054716319,0.209407091140747
624,0,-0.479533881,-0.400000006,-0.403390229,-0.454136044,-0.358532608,0.1466194987297058,1.0,-0.055844784,0.2546948492527008
625,0,-0.479387254,-0.400000006,-0.403711438,-0.455804169,-0.358056992,0.1458010822534561,1.0,-0.05886656,0.2248480767011642
626,0,-0.479241461,-0.400000006,-0.404049993,-0.454864144,-0.357892334,0.1456999778747558,1.0,-0.061165884,0.2668442726135254
627,0,-0.479095757,-0.400000006,-0.404401809,-0.455871433,-0.359070122,0.1462563574314117,1.0,-0.061178789,0.2318021208047866
628,0,-0.478949517,-0.400000006,-0.404753655,-0.455257177,-0.357408673,0.1447741985321045,1.0,-0.066746563,0.2749623358249664
629,0,-0.478804737,-0.400000006,-0.405137569,-0.456261516,-0.35871169,0.1440048366785049,1.0,-0.070101634,0.305517315864563
630,0,-0.478660733,-0.400000006,-0.405540764,-0.457781106,-0.357208431,0.1407366693019867,1.0,-0.077623345,0.3586429953575134
631,0,-0.478519976,-0.400000006,-0.405987203,-0.460683137,-0.35381493,0.1339784860610962,1.0,-0.08817704,0.3321417868137359
632,0,-0.478386015,-0.400000006,-0.406494349,-0.45926702,-0.355413139,0.1311505436897277,1.0,-0.091799602,0.2488454282283783
633,0,-0.478254855,-0.400000006,-0.407022357,-0.458147645,-0.350441605,0.1248257011175155,1.0,-0.097130239,0.3428576290607452
634,0,-0.478130043,-0.400000006,-0.407581002,-0.460950822,-0.351433277,0.1212984025478363,1.0,-0.096229851,0.3512486517429352
635,0,-0.478008747,-0.400000006,-0.40813446,-0.460138083,-0.354710609,0.1228308677673339,1.0,-0.086685881,0.2913247942924499
636,0,-0.477885902,-0.400000006,-0.408633053,-0.459608316,-0.350307494,0.119416669011116,1.0,-0.085215196,0.3223777413368225
